,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,predictions
165,31,admin.,single,secondary,0,2104,1,0,unknown,3,6,455,1,-1,0,unknown,0,1
186,34,admin.,married,tertiary,0,899,1,0,telephone,19,11,377,3,7,4,success,0,1
191,33,self-employed,married,secondary,0,215,1,0,cellular,29,7,543,12,-1,0,unknown,0,1
194,23,student,single,secondary,0,9216,0,0,cellular,5,6,471,2,-1,0,unknown,0,1
196,27,blue-collar,single,secondary,0,5563,1,0,unknown,30,5,435,2,-1,0,unknown,0,1
198,42,technician,married,tertiary,0,782,0,0,cellular,3,4,285,1,-1,0,unknown,0,1
200,34,technician,single,tertiary,0,992,1,0,cellular,4,5,301,1,88,2,success,0,1
203,39,management,divorced,tertiary,0,1315,1,0,cellular,19,11,1337,4,126,1,failure,0,1
218,49,blue-collar,married,primary,0,305,1,1,telephone,10,7,834,10,-1,0,unknown,0,1
233,45,blue-collar,single,secondary,0,0,1,0,cellular,26,7,768,2,91,5,success,0,1
241,50,self-employed,married,tertiary,0,4012,0,0,cellular,19,11,690,3,-1,0,unknown,0,1
244,50,blue-collar,married,secondary,0,606,1,0,unknown,14,5,673,2,-1,0,unknown,0,1
264,58,technician,married,tertiary,0,883,0,0,cellular,18,8,543,1,78,2,failure,0,1
273,35,self-employed,married,secondary,0,524,1,0,cellular,21,11,484,4,-1,0,unknown,0,1
275,34,technician,married,secondary,0,4,1,0,unknown,15,5,644,1,-1,0,unknown,0,1
276,35,housemaid,married,tertiary,0,11219,0,0,cellular,12,8,699,2,79,1,failure,0,1
300,70,retired,divorced,primary,0,4531,0,0,cellular,18,5,445,1,-1,0,unknown,0,1
301,65,retired,divorced,primary,0,1840,0,0,cellular,1,6,383,2,188,5,failure,0,1
302,56,blue-collar,married,secondary,0,345,1,0,telephone,22,7,605,1,-1,0,unknown,0,1
312,43,blue-collar,single,primary,0,2,1,0,cellular,30,7,783,3,-1,0,unknown,0,1
313,43,management,married,tertiary,0,2,0,1,cellular,20,8,472,2,-1,0,unknown,0,1
317,50,admin.,married,primary,0,276,0,1,unknown,17,6,641,6,-1,0,unknown,0,1
325,33,technician,married,secondary,0,6699,0,0,cellular,9,11,425,1,462,1,failure,0,1
338,63,retired,married,primary,0,1084,0,0,cellular,14,10,201,1,183,1,success,0,1
344,37,management,single,unknown,0,504,1,0,cellular,16,4,555,1,-1,0,unknown,0,1
350,31,blue-collar,married,secondary,0,1660,1,0,cellular,20,4,342,1,-1,0,unknown,0,1
353,50,management,married,tertiary,0,4,0,0,cellular,17,11,223,1,96,2,failure,0,1
354,29,management,married,tertiary,0,318,1,0,cellular,18,5,1434,2,356,4,failure,0,1
359,26,student,single,secondary,0,2572,1,0,cellular,5,5,620,1,-1,0,unknown,0,1
362,50,housemaid,married,primary,0,395,1,0,unknown,15,5,419,2,-1,0,unknown,0,1
369,30,entrepreneur,married,secondary,0,946,1,0,cellular,19,11,1065,1,183,1,other,0,1
372,38,services,married,secondary,0,-140,0,0,unknown,25,6,456,3,-1,0,unknown,0,1
389,35,services,married,secondary,0,109,1,0,unknown,6,5,597,3,-1,0,unknown,0,1
390,33,management,single,tertiary,0,1240,1,0,cellular,4,2,505,2,260,1,other,0,1
399,39,blue-collar,married,primary,0,7685,1,0,cellular,14,4,493,3,-1,0,unknown,0,1
419,46,technician,married,secondary,0,1322,1,1,cellular,19,11,514,1,-1,0,unknown,0,1
421,37,management,married,tertiary,0,502,1,0,cellular,7,5,551,1,351,1,failure,0,1
422,26,technician,single,tertiary,0,1216,1,0,cellular,16,4,472,2,-1,0,unknown,0,1
429,40,management,married,tertiary,0,542,1,0,cellular,20,11,1816,1,-1,0,unknown,0,1
431,29,management,married,tertiary,0,20,1,0,cellular,12,5,418,1,-1,0,unknown,0,1
445,24,blue-collar,married,secondary,0,1222,1,0,cellular,20,4,369,1,-1,0,unknown,0,1
465,59,housemaid,married,secondary,0,0,0,0,telephone,3,2,722,1,99,4,failure,0,1
466,34,self-employed,married,secondary,0,-370,1,0,unknown,21,5,748,1,-1,0,unknown,0,1
468,40,management,single,secondary,0,10378,1,0,cellular,17,11,523,3,-1,0,unknown,0,1
490,52,blue-collar,married,unknown,0,826,1,0,unknown,15,5,468,2,-1,0,unknown,0,1
498,38,technician,single,secondary,0,258,0,1,unknown,20,6,587,2,-1,0,unknown,0,1
499,42,management,single,tertiary,0,515,1,0,cellular,19,11,501,2,-1,0,unknown,0,1
511,32,management,married,tertiary,0,820,1,0,cellular,17,7,738,3,-1,0,unknown,0,1
519,61,retired,married,secondary,0,5207,0,0,cellular,11,9,336,1,81,2,other,0,1
522,43,admin.,divorced,secondary,0,738,1,0,cellular,21,11,585,4,191,4,failure,0,1
526,27,admin.,married,secondary,0,1033,1,0,unknown,9,5,1713,1,-1,0,unknown,0,1
529,40,management,married,tertiary,0,1584,1,0,telephone,21,11,661,1,-1,0,unknown,0,1
533,46,technician,divorced,secondary,0,3455,1,0,unknown,14,5,566,2,-1,0,unknown,0,1
541,27,technician,single,unknown,0,59,0,0,cellular,15,7,792,4,-1,0,unknown,0,1
549,28,student,single,secondary,0,378,1,0,cellular,17,4,346,1,-1,0,unknown,0,1
555,37,admin.,married,secondary,0,1314,1,0,cellular,8,5,682,2,85,7,success,0,1
568,59,unemployed,married,primary,0,0,0,0,cellular,30,1,3025,2,-1,0,unknown,0,1
572,53,management,married,tertiary,0,1319,1,0,cellular,16,4,427,1,150,1,failure,0,1
577,38,management,married,tertiary,0,-558,1,0,cellular,21,7,533,1,-1,0,unknown,0,1
580,29,management,married,tertiary,0,361,1,1,cellular,28,7,819,3,-1,0,unknown,0,1
589,43,blue-collar,married,secondary,0,105,0,1,cellular,4,7,668,2,-1,0,unknown,0,1
602,50,blue-collar,married,primary,0,12519,1,0,cellular,17,4,146,2,147,4,success,0,1
616,28,management,single,tertiary,0,231,1,1,cellular,25,7,568,2,-1,0,unknown,0,1
620,33,blue-collar,married,primary,0,3704,1,0,unknown,6,6,447,2,-1,0,unknown,0,1
622,32,blue-collar,single,secondary,0,-84,1,0,cellular,11,5,426,1,-1,0,unknown,0,1
623,40,management,single,tertiary,0,1509,0,0,cellular,12,5,333,1,58,3,failure,0,1
626,33,management,single,tertiary,0,9449,1,0,cellular,8,5,428,1,-1,0,unknown,0,1
641,56,unknown,married,unknown,0,0,0,0,unknown,20,6,471,2,-1,0,unknown,0,1
657,64,retired,married,primary,0,43,0,0,cellular,11,3,117,1,91,1,success,0,1
658,47,technician,married,secondary,0,57,0,0,cellular,5,5,253,1,342,1,success,0,1
659,40,management,married,tertiary,0,-117,1,0,cellular,17,7,770,2,-1,0,unknown,0,1
663,53,entrepreneur,married,primary,0,1034,1,0,cellular,19,11,854,2,170,3,other,0,1
665,54,technician,married,secondary,0,0,0,0,telephone,16,11,986,1,94,8,failure,0,1
698,36,blue-collar,single,secondary,0,340,0,1,unknown,16,6,559,3,-1,0,unknown,0,1
701,40,technician,single,tertiary,0,445,1,0,cellular,24,7,631,1,-1,0,unknown,0,1
760,59,admin.,married,secondary,0,817,0,0,cellular,9,4,304,1,-1,0,unknown,0,1
777,30,technician,single,secondary,0,102,1,0,unknown,7,5,614,2,-1,0,unknown,0,1
788,43,technician,married,secondary,0,764,1,0,cellular,14,7,557,5,-1,0,unknown,0,1
796,38,services,divorced,secondary,0,792,0,0,unknown,6,6,430,1,-1,0,unknown,0,1
798,34,student,single,unknown,0,1281,0,0,cellular,25,8,279,1,117,1,failure,0,1
800,50,management,married,tertiary,0,2881,0,0,cellular,5,8,510,2,2,5,other,0,1
803,57,housemaid,single,secondary,0,254,0,0,cellular,8,10,676,1,-1,0,unknown,0,1
804,40,management,married,tertiary,0,-1212,1,0,cellular,15,5,1259,2,333,18,failure,0,1
805,41,technician,married,secondary,0,2125,1,1,cellular,21,11,285,3,116,4,failure,0,1
840,28,technician,single,secondary,1,-298,1,0,unknown,3,6,559,7,-1,0,unknown,0,1
845,43,technician,married,secondary,0,-932,1,0,cellular,16,4,567,1,-1,0,unknown,0,1
850,33,management,married,tertiary,0,148,0,0,unknown,20,5,717,1,-1,0,unknown,0,1
865,32,blue-collar,single,secondary,0,-255,0,1,unknown,2,7,957,3,-1,0,unknown,0,1
875,37,admin.,married,secondary,0,11303,0,0,cellular,26,5,500,2,-1,0,unknown,0,1
881,31,technician,single,secondary,0,102,1,0,telephone,17,4,460,2,345,2,failure,0,1
902,58,technician,single,secondary,0,409,0,1,cellular,14,7,643,2,-1,0,unknown,0,1
904,45,management,married,tertiary,0,-459,0,0,cellular,21,8,508,6,-1,0,unknown,0,1
909,34,entrepreneur,married,secondary,0,-139,1,1,unknown,27,5,492,2,-1,0,unknown,0,1
924,45,housemaid,married,primary,0,7353,0,0,cellular,13,8,536,2,-1,0,unknown,0,1
933,38,blue-collar,married,secondary,0,361,1,0,unknown,11,6,601,1,-1,0,unknown,0,1
934,39,management,married,secondary,0,1072,1,0,unknown,27,5,1168,2,-1,0,unknown,0,1
935,46,blue-collar,married,primary,0,2904,0,0,cellular,20,4,277,2,-1,0,unknown,0,1
936,50,entrepreneur,divorced,tertiary,0,1790,0,1,cellular,6,2,748,3,-1,0,unknown,0,1
959,37,technician,single,tertiary,0,3315,1,0,cellular,9,4,820,2,-1,0,unknown,0,1
961,41,blue-collar,married,secondary,0,552,1,0,cellular,12,5,463,1,-1,0,unknown,0,1
962,52,admin.,married,secondary,0,2347,0,1,cellular,12,8,603,3,-1,0,unknown,0,1
974,41,blue-collar,married,primary,0,2067,1,0,cellular,15,5,493,7,-1,0,unknown,0,1
979,56,blue-collar,divorced,primary,0,3021,0,0,unknown,9,6,419,2,-1,0,unknown,0,1
993,31,admin.,married,secondary,0,314,1,0,cellular,17,4,279,1,-1,0,unknown,0,1
995,38,blue-collar,married,secondary,0,1370,1,0,cellular,11,5,472,2,-1,0,unknown,0,1
997,34,management,single,tertiary,0,673,1,1,cellular,20,11,271,1,184,1,failure,0,1
998,40,services,married,secondary,0,-342,1,0,unknown,26,5,754,1,-1,0,unknown,0,1
1000,34,technician,married,secondary,0,209,1,1,cellular,8,4,375,2,-1,0,unknown,0,1
1043,41,blue-collar,married,secondary,0,780,1,0,cellular,15,5,432,3,-1,0,unknown,0,1
1047,27,blue-collar,married,secondary,0,872,1,0,cellular,17,4,1130,3,-1,0,unknown,0,1
1051,38,blue-collar,married,secondary,0,-388,1,0,unknown,9,5,412,1,-1,0,unknown,0,1
1062,50,technician,married,secondary,0,-568,1,1,unknown,28,5,860,2,-1,0,unknown,0,1
1063,33,blue-collar,married,primary,0,1165,1,0,unknown,21,5,420,2,-1,0,unknown,0,1
1065,30,unemployed,married,tertiary,0,0,1,0,cellular,18,11,756,1,-1,0,unknown,0,1
1083,64,housemaid,married,primary,0,768,0,0,cellular,15,7,250,2,182,1,success,0,1
1099,58,housemaid,married,primary,0,5278,1,0,unknown,4,6,763,4,-1,0,unknown,0,1
1112,35,technician,married,secondary,0,2789,1,0,cellular,4,9,256,2,94,1,failure,0,1
1113,50,technician,single,secondary,0,3897,0,0,cellular,26,10,298,1,-1,0,unknown,0,1
1118,60,retired,married,secondary,0,4820,0,0,unknown,5,6,419,1,-1,0,unknown,0,1
1119,28,management,single,tertiary,0,4937,1,0,telephone,13,5,421,3,-1,0,unknown,0,1
1126,77,retired,married,secondary,0,610,0,0,cellular,13,8,766,3,-1,0,unknown,0,1
1139,52,entrepreneur,divorced,primary,0,278,1,0,unknown,7,5,688,2,-1,0,unknown,0,1
1156,38,blue-collar,married,secondary,0,284,1,1,unknown,3,6,1030,6,-1,0,unknown,0,1
1161,29,unemployed,single,tertiary,0,991,0,0,cellular,5,2,563,1,-1,0,unknown,0,1
1171,36,admin.,single,secondary,0,0,0,0,cellular,20,4,637,1,-1,0,unknown,0,1
1173,34,technician,single,secondary,0,2729,1,0,cellular,6,4,945,1,139,1,success,0,1
1175,60,housemaid,married,primary,0,517,0,0,unknown,12,6,1178,3,-1,0,unknown,0,1
1176,50,management,married,tertiary,0,-470,1,0,cellular,8,5,506,2,170,3,failure,0,1
1185,33,admin.,married,secondary,0,-6,1,0,unknown,7,5,566,2,-1,0,unknown,0,1
1186,71,technician,married,tertiary,0,383,0,0,cellular,27,10,327,2,183,3,success,0,1
1192,35,entrepreneur,single,secondary,0,475,0,1,cellular,21,7,936,4,-1,0,unknown,0,1
1201,40,technician,married,secondary,0,1270,0,0,cellular,17,4,342,2,-1,0,unknown,0,1
1205,39,blue-collar,married,unknown,0,0,0,0,cellular,2,2,731,1,193,3,failure,0,1
1214,40,services,married,secondary,0,0,0,0,unknown,12,6,543,2,-1,0,unknown,0,1
1216,29,management,single,tertiary,0,15459,0,0,cellular,26,5,245,3,97,7,success,0,1
1259,37,services,single,secondary,0,1050,1,0,cellular,3,2,586,3,-1,0,unknown,0,1
1271,30,blue-collar,married,secondary,0,673,1,0,unknown,20,5,610,2,-1,0,unknown,0,1
1274,43,blue-collar,divorced,primary,0,-97,1,1,cellular,31,7,747,4,-1,0,unknown,0,1
1278,54,blue-collar,married,secondary,0,-932,1,0,unknown,7,5,799,1,-1,0,unknown,0,1
1279,32,management,married,tertiary,0,913,1,0,cellular,23,6,883,1,674,4,failure,0,1
1290,34,blue-collar,married,primary,0,79,1,0,cellular,14,5,406,2,-1,0,unknown,0,1
1296,58,entrepreneur,married,secondary,0,2,0,0,unknown,16,6,684,1,-1,0,unknown,0,1
1302,46,blue-collar,married,secondary,0,494,1,0,unknown,26,5,724,1,-1,0,unknown,0,1
1309,31,management,married,secondary,0,625,1,0,cellular,7,4,424,1,138,1,failure,0,1
1315,49,blue-collar,married,tertiary,0,1784,0,0,unknown,12,6,753,1,-1,0,unknown,0,1
1325,28,management,single,tertiary,0,1027,1,0,cellular,14,5,433,1,-1,0,unknown,0,1
1330,27,blue-collar,married,secondary,1,-584,1,0,cellular,7,5,411,2,-1,0,unknown,0,1
1333,31,technician,single,secondary,0,628,1,0,unknown,12,5,1083,2,-1,0,unknown,0,1
1340,48,technician,married,secondary,0,127,0,1,cellular,7,8,524,5,-1,0,unknown,0,1
1345,40,management,divorced,tertiary,0,69,1,0,cellular,6,5,503,2,280,2,failure,0,1
1348,36,management,married,tertiary,0,61,0,1,cellular,19,8,452,2,-1,0,unknown,0,1
1372,33,technician,divorced,tertiary,0,-386,1,0,unknown,23,5,530,1,-1,0,unknown,0,1
1377,36,blue-collar,married,primary,0,0,1,0,cellular,18,11,618,2,-1,0,unknown,0,1
1383,34,management,married,tertiary,0,4170,1,0,unknown,21,5,935,1,-1,0,unknown,0,1
1390,37,blue-collar,married,unknown,0,603,1,0,unknown,23,5,773,2,-1,0,unknown,0,1
1391,21,services,single,secondary,0,361,0,0,telephone,5,6,329,1,95,1,other,0,1
1392,52,blue-collar,married,secondary,0,-98,1,0,unknown,7,5,423,1,-1,0,unknown,0,1
1394,26,technician,single,secondary,0,2610,1,1,unknown,2,6,626,1,-1,0,unknown,0,1
1400,35,technician,married,secondary,0,2,0,0,telephone,28,1,653,3,-1,0,unknown,0,1
1402,48,management,divorced,tertiary,0,507,1,0,cellular,9,4,528,1,-1,0,unknown,0,1
1403,29,blue-collar,married,secondary,0,912,1,0,cellular,13,5,785,1,-1,0,unknown,0,1
1407,36,unemployed,single,tertiary,0,9019,1,0,unknown,11,6,952,3,-1,0,unknown,0,1
1412,57,admin.,divorced,unknown,0,4012,0,0,cellular,20,11,915,1,-1,0,unknown,0,1
1434,34,admin.,single,secondary,0,846,1,0,cellular,17,4,758,2,-1,0,unknown,0,1
1436,34,entrepreneur,married,tertiary,0,-28,1,0,cellular,16,7,574,1,-1,0,unknown,0,1
1439,30,blue-collar,married,secondary,0,501,1,1,unknown,27,5,514,1,-1,0,unknown,0,1
1441,49,unknown,married,unknown,0,301,0,0,cellular,14,8,789,2,-1,0,unknown,0,1
1442,73,retired,married,primary,0,1388,0,0,cellular,20,7,146,3,190,3,success,0,1
1445,32,self-employed,married,secondary,0,413,1,0,cellular,11,7,712,2,-1,0,unknown,0,1
1450,49,self-employed,married,secondary,0,1103,0,0,cellular,12,8,428,2,-1,0,unknown,0,1
1457,33,management,married,tertiary,0,3696,0,0,cellular,19,11,305,1,182,3,failure,0,1
1459,31,technician,single,secondary,0,433,0,0,cellular,11,8,1504,2,-1,0,unknown,0,1
1468,38,management,married,tertiary,0,0,1,0,cellular,13,5,537,5,303,2,failure,0,1
1473,53,blue-collar,married,secondary,0,70,1,0,unknown,5,5,611,2,-1,0,unknown,0,1
1482,39,blue-collar,married,secondary,0,0,1,0,cellular,7,5,502,1,7,2,failure,0,1
1503,56,retired,married,secondary,0,-113,1,1,cellular,12,8,614,2,-1,0,unknown,0,1
1507,40,management,married,tertiary,0,-7,0,1,telephone,25,7,697,1,-1,0,unknown,0,1
1510,45,technician,married,secondary,0,1415,1,0,cellular,17,11,483,1,116,1,failure,0,1
1524,42,blue-collar,married,primary,0,792,1,1,cellular,19,11,611,2,175,12,other,0,1
1533,32,blue-collar,single,secondary,0,1721,1,0,unknown,21,5,650,2,-1,0,unknown,0,1
1538,50,blue-collar,divorced,secondary,0,203,1,0,telephone,19,11,265,1,127,4,other,0,1
1550,40,blue-collar,married,secondary,0,1012,1,0,cellular,6,5,410,1,-1,0,unknown,0,1
1552,33,management,single,tertiary,0,1998,0,0,cellular,19,11,570,1,-1,0,unknown,0,1
1553,34,blue-collar,married,secondary,0,3990,1,0,cellular,24,7,633,7,-1,0,unknown,0,1
1567,51,management,married,tertiary,0,2934,1,0,cellular,18,11,727,4,-1,0,unknown,0,1
1576,48,management,married,secondary,0,117,1,0,cellular,16,4,635,1,-1,0,unknown,0,1
1584,30,services,single,tertiary,0,3516,1,0,unknown,29,5,447,4,-1,0,unknown,0,1
1590,54,blue-collar,married,unknown,0,191,0,0,cellular,4,8,753,2,-1,0,unknown,0,1
1592,29,self-employed,single,secondary,0,3672,1,1,unknown,28,5,1210,1,-1,0,unknown,0,1
1600,32,management,married,secondary,0,6217,1,1,cellular,18,11,486,2,181,2,failure,0,1
1603,32,technician,married,unknown,0,14533,0,0,cellular,31,12,646,3,198,2,success,0,1
1610,49,blue-collar,married,primary,0,1019,1,0,cellular,16,4,285,5,-1,0,unknown,0,1
1612,29,management,divorced,tertiary,0,415,1,1,unknown,28,5,449,4,-1,0,unknown,0,1
1624,58,technician,married,secondary,0,116,0,0,unknown,16,6,580,3,-1,0,unknown,0,1
1641,27,blue-collar,single,secondary,0,23,0,0,cellular,26,2,590,2,-1,0,unknown,0,1
1660,52,services,married,secondary,0,108,1,0,unknown,15,5,543,12,-1,0,unknown,0,1
1665,51,blue-collar,married,secondary,0,2237,1,0,unknown,29,5,619,1,-1,0,unknown,0,1
1668,28,unemployed,married,secondary,0,655,1,0,unknown,4,6,606,2,-1,0,unknown,0,1
1669,66,management,married,tertiary,0,1048,1,0,cellular,23,6,971,2,-1,0,unknown,0,1
1712,29,blue-collar,single,secondary,0,309,1,0,cellular,11,5,471,3,-1,0,unknown,0,1
1722,56,management,married,secondary,0,238,1,0,cellular,19,11,808,1,-1,0,unknown,0,1
1723,45,blue-collar,married,primary,0,97,1,0,unknown,7,5,923,3,-1,0,unknown,0,1
1732,48,management,married,primary,0,1910,1,0,unknown,29,5,413,2,-1,0,unknown,0,1
1738,44,management,divorced,tertiary,0,2058,0,1,cellular,21,11,661,1,-1,0,unknown,0,1
1750,47,housemaid,single,tertiary,0,3232,0,0,telephone,6,10,541,1,204,3,failure,0,1
1752,47,services,married,tertiary,0,871,0,0,cellular,22,8,602,9,-1,0,unknown,0,1
1762,35,self-employed,single,tertiary,0,44,0,0,cellular,7,9,310,2,96,2,other,0,1
1779,32,technician,single,tertiary,0,13711,1,0,cellular,14,5,638,1,175,3,success,0,1
1781,47,management,married,tertiary,0,286,0,0,cellular,22,8,557,7,-1,0,unknown,0,1
1823,35,technician,divorced,secondary,0,473,1,1,unknown,26,5,434,4,-1,0,unknown,0,1
1848,38,blue-collar,married,primary,0,2240,1,0,cellular,19,11,551,1,183,1,failure,0,1
1855,41,technician,single,secondary,0,618,0,0,cellular,5,2,1056,1,-1,0,unknown,0,1
1857,38,services,married,secondary,0,434,1,0,unknown,20,5,411,1,-1,0,unknown,0,1
1863,32,admin.,single,secondary,0,45,1,1,cellular,14,5,908,3,344,7,other,0,1
1864,32,admin.,married,secondary,0,923,1,0,cellular,17,4,819,4,-1,0,unknown,0,1
1869,44,management,married,tertiary,0,773,0,1,cellular,9,7,618,1,-1,0,unknown,0,1
1877,40,services,married,secondary,0,4157,1,0,unknown,15,5,735,1,-1,0,unknown,0,1
1887,33,management,married,unknown,0,18347,1,0,unknown,23,5,415,1,-1,0,unknown,0,1
1893,35,technician,divorced,secondary,0,69,1,0,unknown,8,5,461,3,-1,0,unknown,0,1
1896,35,management,single,tertiary,0,0,0,0,cellular,29,8,669,6,-1,0,unknown,0,1
1903,60,retired,married,secondary,0,197,0,0,cellular,7,10,1386,1,-1,0,unknown,0,1
1906,49,blue-collar,divorced,primary,0,15,1,0,unknown,27,5,550,7,-1,0,unknown,0,1
1912,54,blue-collar,married,secondary,0,0,0,0,telephone,16,4,1366,1,150,1,failure,0,1
1945,33,blue-collar,single,secondary,0,4404,1,0,cellular,20,11,766,3,-1,0,unknown,0,1
1956,77,retired,married,primary,0,680,0,0,telephone,24,2,513,2,89,7,failure,0,1
1959,44,blue-collar,married,secondary,0,2523,1,0,unknown,29,5,1236,2,-1,0,unknown,0,1
1971,32,management,married,secondary,0,6217,1,1,unknown,21,5,486,2,-1,0,unknown,0,1
1980,56,admin.,married,unknown,0,2038,0,0,cellular,8,2,405,1,305,1,success,0,1
1987,35,services,single,secondary,0,1063,1,1,cellular,16,4,327,1,-1,0,unknown,0,1
1989,45,blue-collar,married,secondary,0,2926,1,1,cellular,19,11,482,3,120,2,failure,0,1
1992,43,admin.,married,secondary,0,0,1,0,cellular,17,7,674,3,-1,0,unknown,0,1
2013,31,blue-collar,single,secondary,0,609,1,0,cellular,14,4,1126,1,335,1,failure,0,1
2060,43,blue-collar,married,primary,0,-93,1,0,unknown,26,5,402,2,-1,0,unknown,0,1
2070,80,retired,married,secondary,0,8304,0,0,telephone,6,4,681,1,118,11,success,0,1
2079,38,management,divorced,tertiary,0,4335,1,0,cellular,20,11,640,1,-1,0,unknown,0,1
2098,57,retired,married,secondary,1,32,1,0,cellular,15,5,476,3,-1,0,unknown,0,1
2106,47,entrepreneur,married,primary,0,668,0,0,cellular,12,5,908,1,-1,0,unknown,0,1
2132,26,admin.,married,secondary,0,0,0,0,unknown,27,5,755,1,-1,0,unknown,0,1
2138,27,technician,single,secondary,0,282,0,1,cellular,9,7,676,5,-1,0,unknown,0,1
2147,31,technician,single,secondary,0,1970,0,0,telephone,17,4,284,3,-1,0,unknown,0,1
2150,31,services,married,secondary,0,388,1,0,unknown,5,5,730,2,-1,0,unknown,0,1
2160,60,management,married,tertiary,0,3387,0,0,cellular,14,8,636,2,-1,0,unknown,0,1
2165,35,technician,married,secondary,0,1707,1,0,unknown,2,6,426,3,-1,0,unknown,0,1
2173,55,services,married,unknown,0,1210,1,0,unknown,30,5,868,1,-1,0,unknown,0,1
2188,46,admin.,single,secondary,0,1693,1,0,cellular,25,1,137,1,97,1,success,0,1
2211,55,management,divorced,tertiary,0,1598,0,0,cellular,22,8,607,4,-1,0,unknown,0,1
2217,51,self-employed,married,tertiary,0,2007,0,0,unknown,16,6,1021,1,-1,0,unknown,0,1
2222,34,admin.,married,secondary,0,475,1,0,unknown,7,5,559,1,-1,0,unknown,0,1
2225,31,self-employed,single,tertiary,0,96,0,0,cellular,5,2,577,1,-1,0,unknown,0,1
2228,47,technician,married,secondary,0,3973,0,0,cellular,6,8,732,2,-1,0,unknown,0,1
2249,49,unemployed,divorced,tertiary,0,780,0,0,cellular,8,11,148,1,871,2,failure,0,1
2254,48,unemployed,married,tertiary,0,-471,1,0,unknown,19,5,668,7,-1,0,unknown,0,1
2258,70,retired,married,primary,0,3782,0,0,cellular,16,3,618,1,-1,0,unknown,0,1
2266,55,admin.,married,secondary,0,0,0,0,cellular,23,9,180,2,238,3,success,0,1
2268,33,management,single,secondary,0,-424,1,0,unknown,26,5,863,1,-1,0,unknown,0,1
2279,35,technician,married,secondary,0,327,1,0,cellular,13,4,537,3,-1,0,unknown,0,1
2282,44,blue-collar,single,primary,0,787,1,0,unknown,30,5,570,2,-1,0,unknown,0,1
2285,44,services,married,secondary,0,5780,1,0,cellular,1,4,525,2,-1,0,unknown,0,1
2286,30,technician,single,secondary,0,790,0,0,cellular,20,8,696,3,-1,0,unknown,0,1
2287,38,unemployed,married,tertiary,0,1449,0,0,unknown,26,5,535,6,-1,0,unknown,0,1
2324,34,blue-collar,married,secondary,0,103,1,1,unknown,8,5,956,2,-1,0,unknown,0,1
2326,32,services,married,secondary,0,55,1,0,unknown,15,5,546,9,-1,0,unknown,0,1
2347,35,management,single,tertiary,0,71,1,0,unknown,21,5,836,12,-1,0,unknown,0,1
2355,30,services,married,secondary,0,1286,1,1,cellular,17,7,544,1,-1,0,unknown,0,1
2365,33,admin.,divorced,secondary,0,661,1,0,cellular,18,11,411,1,173,2,other,0,1
2367,40,management,single,unknown,0,838,1,0,unknown,12,5,619,3,-1,0,unknown,0,1
2380,32,technician,single,secondary,0,6402,1,0,cellular,6,5,158,1,167,1,success,0,1
2383,30,student,single,secondary,0,0,1,0,cellular,19,11,661,1,-1,0,unknown,0,1
2406,36,services,married,secondary,0,3064,1,0,telephone,11,5,1143,4,-1,0,unknown,0,1
