,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,predictions
2696,55,management,divorced,tertiary,0,9756,1,0,cellular,5,6,103,2,95,1,other,1,0
2705,41,blue-collar,single,secondary,0,75,1,0,unknown,1,7,479,9,-1,0,unknown,1,0
2717,29,technician,single,tertiary,0,2325,0,0,cellular,2,2,125,1,-1,0,unknown,1,0
2773,35,management,divorced,tertiary,0,0,1,0,telephone,29,10,171,1,-1,0,unknown,1,0
2780,19,student,single,secondary,0,302,0,0,cellular,16,7,205,1,-1,0,unknown,1,0
2845,44,management,married,tertiary,0,1058,0,0,cellular,11,3,188,3,-1,0,unknown,1,0
2911,34,housemaid,married,secondary,0,0,1,0,unknown,30,10,154,1,-1,0,unknown,1,0
2915,56,retired,divorced,primary,0,694,0,0,cellular,29,1,144,1,102,1,other,1,0
2940,61,technician,married,secondary,0,1191,0,0,cellular,21,5,214,4,-1,0,unknown,1,0
2948,36,management,single,secondary,0,1511,1,0,cellular,16,11,270,1,-1,0,unknown,1,0
2953,22,student,single,tertiary,0,691,0,0,cellular,19,8,338,1,-1,0,unknown,1,0
2962,71,retired,married,tertiary,0,14220,1,0,cellular,9,9,397,1,-1,0,unknown,1,0
2963,31,management,single,tertiary,0,12569,0,0,cellular,9,9,344,1,295,1,failure,1,0
3013,49,technician,married,tertiary,0,523,1,0,cellular,3,3,152,2,-1,0,unknown,1,0
3036,73,retired,married,primary,0,279,0,0,cellular,28,1,399,3,-1,0,unknown,1,0
3040,34,admin.,married,secondary,0,2374,1,0,cellular,9,11,161,1,209,2,failure,1,0
3073,67,retired,married,tertiary,0,701,0,0,cellular,6,8,254,2,-1,0,unknown,1,0
3135,48,management,married,tertiary,0,1808,1,0,cellular,26,2,245,1,-1,0,unknown,1,0
3184,34,management,single,tertiary,0,5086,0,0,cellular,25,5,213,4,-1,0,unknown,1,0
3187,63,retired,married,secondary,0,474,0,0,cellular,25,1,423,1,-1,0,unknown,1,0
3311,87,retired,married,primary,0,230,0,0,cellular,30,10,144,1,-1,0,unknown,1,0
3315,33,admin.,married,tertiary,0,79,1,0,cellular,22,10,249,2,335,2,failure,1,0
3317,25,management,single,tertiary,0,808,0,0,cellular,18,9,267,2,114,2,failure,1,0
3367,27,admin.,married,secondary,0,897,0,0,cellular,5,6,397,1,-1,0,unknown,1,0
3458,71,retired,married,secondary,0,2850,0,0,cellular,17,2,185,1,-1,0,unknown,1,0
3491,47,management,married,tertiary,0,2306,0,0,telephone,6,8,239,4,-1,0,unknown,1,0
3510,43,technician,married,secondary,0,136,0,0,cellular,25,8,363,7,-1,0,unknown,1,0
3527,33,services,divorced,secondary,0,2411,1,0,cellular,23,10,130,1,161,1,failure,1,0
3553,68,retired,married,secondary,0,19317,1,0,cellular,4,8,249,1,-1,0,unknown,1,0
3652,29,admin.,single,secondary,0,1070,1,0,unknown,19,5,30,1,357,1,other,1,0
3723,32,services,single,secondary,0,152,1,0,cellular,25,5,158,2,-1,0,unknown,1,0
3765,55,technician,divorced,secondary,0,3450,0,0,cellular,10,2,169,1,183,1,failure,1,0
3771,61,management,married,tertiary,0,997,0,0,cellular,10,3,106,1,-1,0,unknown,1,0
3778,35,management,married,tertiary,0,8,0,0,cellular,23,4,93,3,-1,0,unknown,1,0
3780,26,management,single,tertiary,0,170,0,0,cellular,15,6,129,1,-1,0,unknown,1,0
3844,39,admin.,married,secondary,0,607,1,0,cellular,12,5,454,2,364,3,failure,1,0
3942,49,management,married,primary,0,3371,0,0,cellular,11,11,269,2,-1,0,unknown,1,0
3995,37,blue-collar,divorced,secondary,0,0,1,0,cellular,21,4,146,4,-1,0,unknown,1,0
4028,52,admin.,single,unknown,0,2227,0,0,cellular,24,2,242,2,-1,0,unknown,1,0
4040,53,entrepreneur,married,primary,0,27,1,0,telephone,10,9,230,3,-1,0,unknown,1,0
4061,28,blue-collar,married,secondary,0,2788,1,0,unknown,6,6,369,2,-1,0,unknown,1,0
4090,30,management,married,tertiary,0,944,0,0,cellular,29,10,251,2,-1,0,unknown,1,0
4108,84,retired,divorced,primary,0,639,0,0,telephone,18,5,353,3,-1,0,unknown,1,0
4117,25,student,single,secondary,0,8,0,0,cellular,22,4,107,2,-1,0,unknown,1,0
4124,50,self-employed,divorced,tertiary,0,13,1,0,cellular,20,4,76,1,-1,0,unknown,1,0
4125,30,technician,married,secondary,0,-393,1,1,cellular,16,7,435,1,-1,0,unknown,1,0
4148,55,entrepreneur,divorced,secondary,0,538,1,0,cellular,7,8,353,2,-1,0,unknown,1,0
4194,32,services,single,secondary,0,133,0,0,cellular,15,4,171,1,-1,0,unknown,1,0
4198,34,management,married,tertiary,0,606,0,0,cellular,20,4,97,1,-1,0,unknown,1,0
4225,65,unknown,married,unknown,0,4717,0,0,telephone,6,8,256,1,-1,0,unknown,1,0
4250,32,management,single,tertiary,0,2,1,0,cellular,11,9,100,2,-1,0,unknown,1,0
4328,49,admin.,married,secondary,0,3608,1,0,unknown,13,11,231,1,-1,0,unknown,1,0
4388,83,retired,divorced,primary,0,1097,0,0,telephone,5,3,181,1,-1,0,unknown,1,0
4392,50,unemployed,married,secondary,0,3357,0,0,cellular,9,6,239,4,-1,0,unknown,1,0
